108.35.156.127 - - [25/May/2020:20:58:16 -0700] "GET /images/vc_logo.png HTTP/1.1" 200 177410 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:16 -0700] "GET /images/one-on-one.jpg HTTP/1.1" 200 151105 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:17 -0700] "GET /images/ChickenPiccata2.JPG HTTP/1.1" 200 745055 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:17 -0700] "GET /images/TableSetting1.jpg HTTP/1.1" 200 906543 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:17 -0700] "GET /images/gallery-img2.jpg HTTP/1.1" 200 121211 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:17 -0700] "GET /fonts/staccato-222-bt.ttf HTTP/1.1" 200 126707 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:19 -0700] "GET /images/barbara.side.jpg HTTP/1.1" 200 30700 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:20:58:26 -0700] "GET /images/rosechef.jpg HTTP/1.1" 200 61902 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET / HTTP/1.1" 200 11432 "-" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /css/nivo-lightbox.css HTTP/1.1" 200 5702 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /css/style.css HTTP/1.1" 200 8387 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /js/jquery.js HTTP/1.1" 200 95786 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /js/custom.js HTTP/1.1" 200 843 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /css/nivo_themes/default/default.css HTTP/1.1" 200 2909 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /images/rosechef.jpg HTTP/1.1" 200 61902 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:03 -0700] "GET /images/kellychef.jpg HTTP/1.1" 200 46377 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:04 -0700] "GET /images/ChickenPiccata2.JPG HTTP/1.1" 200 745055 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:04 -0700] "GET /images/chocLavaCake.jpg HTTP/1.1" 200 1050534 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:04 -0700] "GET /images/TableSetting1.jpg HTTP/1.1" 200 906543 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:05 -0700] "GET /images/gallery-img2.jpg HTTP/1.1" 200 121211 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:05 -0700] "GET /images/one-on-one.jpg HTTP/1.1" 200 151105 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:11:05 -0700] "GET /fonts/staccato-222-bt.ttf HTTP/1.1" 200 126707 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:00 -0700] "GET / HTTP/1.1" 200 11432 "-" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:00 -0700] "GET /js/jquery.js HTTP/1.1" 200 95786 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:00 -0700] "GET /js/custom.js HTTP/1.1" 200 843 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:00 -0700] "GET /css/nivo_themes/default/default.css HTTP/1.1" 200 2909 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:01 -0700] "GET /images/ChickenPiccata2.JPG HTTP/1.1" 200 745055 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:02 -0700] "GET /images/chocLavaCake.jpg HTTP/1.1" 200 1050534 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:03 -0700] "GET /images/rosechef.jpg HTTP/1.1" 200 61902 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
108.35.156.127 - - [25/May/2020:21:15:03 -0700] "GET /images/gallery-img2.jpg HTTP/1.1" 200 121211 "http://vivacucina.com/" "Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4" "vivacucina.com"
